"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 19:35:13 AEDT 2020","Mon Nov 16 19:35:13 AEDT 2020","486","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter state ""Arizona""","When I enter state ""Arizona""",""
"passed","Mon Nov 16 19:35:09 AEDT 2020","Mon Nov 16 19:35:09 AEDT 2020","664","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter emailid ""vinit0@gmail.com""","When I enter emailid ""vinit0@gmail.com""",""
"passed","Mon Nov 16 19:36:07 AEDT 2020","Mon Nov 16 19:36:10 AEDT 2020","2604","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I navigate by clicking ""Proceed to checkout"" button","When I navigate by clicking ""Proceed to checkout"" button",""
"passed","Mon Nov 16 19:35:12 AEDT 2020","Mon Nov 16 19:35:13 AEDT 2020","569","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter city ""Melbourne""","When I enter city ""Melbourne""",""
"passed","Mon Nov 16 19:35:15 AEDT 2020","Mon Nov 16 19:35:24 AEDT 2020","9013","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click ""Register"" button","When I click ""Register"" button",""
"passed","Mon Nov 16 19:35:08 AEDT 2020","Mon Nov 16 19:35:08 AEDT 2020","637","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter first name ""Vinit""","When I enter first name ""Vinit""",""
"passed","Mon Nov 16 19:35:13 AEDT 2020","Mon Nov 16 19:35:14 AEDT 2020","525","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter postcode ""85006""","When I enter postcode ""85006""",""
"passed","Mon Nov 16 19:34:53 AEDT 2020","Mon Nov 16 19:35:00 AEDT 2020","6944","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter the email address ""vinit0@gmail.com""","When I enter the email address ""vinit0@gmail.com""",""
"passed","Mon Nov 16 19:35:47 AEDT 2020","Mon Nov 16 19:35:58 AEDT 2020","10745","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click the ""Proceed to checkout"" button","When I click the ""Proceed to checkout"" button",""
"passed","Mon Nov 16 19:35:07 AEDT 2020","Mon Nov 16 19:35:08 AEDT 2020","585","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I select ""Mr"" title","When I select ""Mr"" title",""
"passed","Mon Nov 16 19:34:50 AEDT 2020","Mon Nov 16 19:34:53 AEDT 2020","3016","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click ""Sign in"" link","When I click ""Sign in"" link",""
"passed","Mon Nov 16 19:35:25 AEDT 2020","Mon Nov 16 19:35:34 AEDT 2020","9053","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I click ""Search"" button","When I click ""Search"" button",""
